"Group_Number","Group_Index","URL_RawData","URL_WellMask","PathName_RawData","PathName_WellMask","FileName_RawData","FileName_WellMask","Series_RawData","Series_WellMask","Frame_RawData","Frame_WellMask","Channel_RawData","Channel_WellMask","Metadata_Date","Metadata_FileLocation","Metadata_Frame","Metadata_Plate","Metadata_Researcher","Metadata_Series","Metadata_Well"
1,21,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_B09.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_B09.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_B09.TIF","0","p01","KJG","0","B09"
1,22,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_B10.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_B10.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_B10.TIF","0","p01","KJG","0","B10"
1,23,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_B11.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_B11.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_B11.TIF","0","p01","KJG","0","B11"
1,24,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_B12.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_B12.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_B12.TIF","0","p01","KJG","0","B12"
1,25,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C01.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_C01.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C01.TIF","0","p01","KJG","0","C01"
1,26,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C02.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_C02.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C02.TIF","0","p01","KJG","0","C02"
1,27,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C03.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_C03.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C03.TIF","0","p01","KJG","0","C03"
1,28,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C04.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_C04.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C04.TIF","0","p01","KJG","0","C04"
1,29,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C05.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_C05.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C05.TIF","0","p01","KJG","0","C05"
1,30,"file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C06.TIF","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks/well_mask.png","/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images","/Users/njwheeler/Desktop/CellProfiler_Pipelines/masks","20210521-p01-KJG_C06.TIF","well_mask.png",0,0,0,0,-1,-1,"20210521","file:/Users/njwheeler/Desktop/CellProfiler_Pipelines/projects/20210521-p01-KJG_641/raw_images/20210521-p01-KJG_C06.TIF","0","p01","KJG","0","C06"
